idx iface acct_tag_hex uid_tag_int cnt_set rx_bytes rx_packets tx_bytes tx_packets rx_tcp_bytes rx_tcp_packets rx_udp_bytes rx_udp_packets rx_other_bytes rx_other_packets tx_tcp_bytes tx_tcp_packets tx_udp_bytes tx_udp_packets tx_other_bytes tx_other_packets
177 wlan0 0x10001b0000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
178 wlan0 0x1000210100000000 10036 0 778174 1468 210831 1882 778174 1468 0 0 0 0 210831 1882 0 0 0 0
179 wlan0 0x1000210100000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
180 wlan0 0x1000250000000000 10036 0 3537 11 1738 21 3537 11 0 0 0 0 1738 21 0 0 0 0
181 wlan0 0x1000250000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
182 wlan0 0x1000280400000000 10036 0 17022 47 12394 86 17022 47 0 0 0 0 12394 86 0 0 0 0
183 wlan0 0x1000280400000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
184 wlan0 0x1000300000000000 10036 0 399045 1254 1108424 2226 399045 1254 0 0 0 0 1108424 2226 0 0 0 0
185 wlan0 0x1000300000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
186 wlan0 0x1000310000000000 10036 0 357709 788 213377 1303 357709 788 0 0 0 0 213377 1303 0 0 0 0
187 wlan0 0x1000310000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
188 wlan0 0x1000310100000000 10036 0 10807 27 6908 46 10807 27 0 0 0 0 6908 46 0 0 0 0
189 wlan0 0x1000310100000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
190 wlan0 0x1000310200000000 10036 0 12439 39 12528 64 12439 39 0 0 0 0 12528 64 0 0 0 0
191 wlan0 0x1000310200000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
192 wlan0 0x1000310500000000 10036 0 1004301 2295 662200 3829 1004301 2295 0 0 0 0 662200 3829 0 0 0 0
193 wlan0 0x1000310500000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
194 wlan0 0x1000310600000000 10036 0 276010 756 203507 1318 276010 756 0 0 0 0 203507 1318 0 0 0 0
195 wlan0 0x1000310600000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
196 wlan0 0x1000320000000000 10036 0 610899 1019 242307 1773 610899 1019 0 0 0 0 242307 1773 0 0 0 0
197 wlan0 0x1000320000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
198 wlan0 0x1000330000000000 10036 0 0 0 12342 17 0 0 0 0 0 0 12342 17 0 0 0 0
199 wlan0 0x1000330000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
200 wlan0 0x1000330000000000 10554 0 1578 8 3535 16 1578 8 0 0 0 0 3535 16 0 0 0 0
201 wlan0 0x1000330000000000 10554 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
202 wlan0 0x1000330000000000 10570 0 4515 8 1945 10 4515 8 0 0 0 0 1945 10 0 0 0 0
203 wlan0 0x1000330000000000 10570 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
204 wlan0 0x1000330000000000 10575 0 28263 60 22600 118 28263 60 0 0 0 0 22600 118 0 0 0 0
205 wlan0 0x1000330000000000 10575 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
206 wlan0 0x1000330000000000 10582 0 1927 9 4134 18 1927 9 0 0 0 0 4134 18 0 0 0 0
207 wlan0 0x1000330000000000 10582 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
208 wlan0 0x1000330000000000 10588 0 27071 66 31644 119 27071 66 0 0 0 0 31644 119 0 0 0 0
209 wlan0 0x1000330000000000 10588 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
210 wlan0 0x1000330000000000 10610 0 19261 43 30617 97 19261 43 0 0 0 0 30617 97 0 0 0 0
211 wlan0 0x1000330000000000 10610 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
212 wlan0 0x1000360000000000 10036 0 603758 979 23670230 393112 603758 979 0 0 0 0 23670230 393112 0 0 0 0
213 wlan0 0x1000360000000000 10036 1 3716 12 13389 212 3716 12 0 0 0 0 13389 212 0 0 0 0
214 wlan0 0x1000380100000000 10036 0 0 0 19320 322 0 0 0 0 0 0 19320 322 0 0 0 0
215 wlan0 0x1000380100000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
216 wlan0 0x1000410000000000 10036 0 8061857 5723 4200025 69830 8061857 5723 0 0 0 0 4200025 69830 0 0 0 0
217 wlan0 0x1000410000000000 10036 1 0 0 3360 56 0 0 0 0 0 0 3360 56 0 0 0 0
218 wlan0 0x1010000000000000 10155 0 1277754 1523 1540126 24029 1277754 1523 0 0 0 0 1540126 24029 0 0 0 0
219 wlan0 0x1010000000000000 10155 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
220 wlan0 0x1100000000000000 10128 0 1259855 2888 525084 3675 1259855 2888 0 0 0 0 525084 3675 0 0 0 0
221 wlan0 0x1100000000000000 10128 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
222 wlan0 0x11065fff00000000 10036 0 15686366 53822 26502869 88960 15686366 53822 0 0 0 0 26502869 88960 0 0 0 0
223 wlan0 0x11065fff00000000 10036 1 4717 16 5223 18 4717 16 0 0 0 0 5223 18 0 0 0 0
224 wlan0 0x2000040100000000 10036 0 7884 11 1436 14 7884 11 0 0 0 0 1436 14 0 0 0 0
225 wlan0 0x2000040100000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
226 wlan0 0x2000040700000000 10036 0 3906 51 6089 87 3906 51 0 0 0 0 6089 87 0 0 0 0
227 wlan0 0x2000040700000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
228 wlan0 0x2000090000000000 10036 0 10330 163 267 3 0 0 10330 163 0 0 0 0 267 3 0 0
229 wlan0 0x2000090000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
230 wlan0 0x2000160000000000 10036 0 152 3 301 3 152 3 0 0 0 0 301 3 0 0 0 0
231 wlan0 0x2000160000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
232 wlan0 0x2000180400000000 10036 0 3056 5 764 7 3056 5 0 0 0 0 764 7 0 0 0 0
233 wlan0 0x2000180400000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
234 wlan0 0x2000360000000000 10036 0 152 3 721 10 152 3 0 0 0 0 721 10 0 0 0 0
235 wlan0 0x2000360000000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
236 wlan0 0x2000380100000000 10036 0 568 11 1604 18 568 11 0 0 0 0 1604 18 0 0 0 0
237 wlan0 0x2000380100000000 10036 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
238 wlan0 0x22cd051c00000000 10576 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
239 wlan0 0x22cd051c00000000 10576 1 28705 48 11028 76 28705 48 0 0 0 0 11028 76 0 0 0 0
240 wlan0 0x3000009800000000 10036 0 114108 139 19527 130 114108 139 0 0 0 0 19527 130 0 0 0 0
